business_id,name,address,latitude,longitude,stars,cat_1,cat_2,cat_3,drink,value,food,service,review_count,zip_code
MTSW4McQd7CbVtyjqoe9mw,St Honore Pastries,"935 Race St, Philadelphia, PA 19107",39.9555052,-75.1555641,4.0,Food,Bubble Tea,Coffee & Tea,,,,,80,19107
9OG5YkX1g2GReZM0AskizA,Romano's Macaroni Grill,"5505 S Virginia St, Reno, NV 89502",39.4761165,-119.7893392,2.5,Italian,,,1.5907367169857000,3.0110208988189700,-2.8928182721138,-0.7352942824363710,339,89502
ljxNT9p0y7YMPx0fcNBGig,Tony's Restaurant & 3rd Street Cafe,"312 Piasa St, Alton, IL 62002",38.896563,-90.1862032987,3.0,Specialty Food,Steakhouses,Food,,,,,94,62002
ABxoFuzZy5mqQ8C5FJJajQ,Core de Roma,"201 Jefferson St, Bala Cynwyd, PA 19004",40.0283575,-75.2380841,5.0,Italian,,,,,,,12,19004
ppFCk9aQkM338Rgwpl2F5A,Wawa,"3604 Chestnut St, Philadelphia, PA 19104",39.954573,-75.1948936,3.0,Automotive,Delis,Gas Stations,,,,,56,19104
RK6-cJ9hj53RzOlCBmpT-g,Impasto,", Tampa, FL 33611",27.890814,-82.5023464,5.0,Italian,Food Trucks,Food,,,,,5,33611
TLZ3-eDPLhUzfsWO4ad6Ug,Mahony's Po-Boys & Seafood,"901 Iberville St, New Orleans, LA 70112",29.9554151,-90.0700619,4.0,Seafood,Cajun/Creole,,13.758511304855300,16.511049211025200,9.915859460830690,11.867746949195900,382,70112
vje0KIiE7vtpx7JzmBx5LQ,The Pearl,"163 107th Ave, Treasure Island, FL 33706",27.7694046,-82.767317,4.0,French,Moroccan,Seafood,,,,,129,33706
3BJxm-HnvzdwD1zjmSbmyQ,Golden Chopstick Chinese Restaurant,"1800 Spring Garden St, Philadelphia, PA 19130",39.963077709,-75.1680274529,3.0,Chinese,,,,,,,137,19130
BxhkoR6cscJwwex8gx31OA,Bar-B-Cutie,"1787 Gallatin Pike N, Madison, TN 37115",36.296536,-86.700179,3.5,Barbeque,,,,,,,40,37115
CtMEJxpVMlNzFpB4PtFjfA,Aussie Grill,"25340 Sierra Center Blvd, Lutz, FL 33559",28.192191035,-82.396367,4.0,American (New),Burgers,Fast Food,,,,,75,33559
pmuuoDqNZp7518AUd-YmPA,Bagelicious - King Of Prussia,"216 W Beidler Rd, King of Prussia, PA 19406",40.1124813,-75.3799748,3.5,Bakeries,Caterers,Bagels,,,,,60,19406
bTve2mwLk5Zc01vRKqc2KQ,Red Hook Coffee & Tea,"765 S 4th St, Philadelphia, PA 19147",39.9385518,-75.1496356,4.5,Breakfast & Brunch,Vegan,Bagels,,,,,183,19147
uDQgmudYDKiB6n4vwbEeDg,Chrysalis,"9040 Carothers Pkwy, Franklin, TN 37067",35.9565328581,-86.8027199385,4.5,Italian,Nightlife,Bars,,,,,112,37067
py5aKmlTB2NarfsfcOpHOQ,Cafe Con Leche,"4100 George J Bean Pkwy, Tampa, FL 33607",27.9767745,-82.5374233,2.5,Breakfast & Brunch,Coffee Roasteries,Coffee & Tea,,,,,55,33607
wZhGuW7vQpfhxeEvLHkTrA,Express Cafe,"400 E Fairview Ave, Meridian, ID 83642",43.6196488,-116.3871392,4.5,Breakfast & Brunch,,,,,,,119,83642
zVlhs7BVaouutt-rles-YA,Williams Sub Shop,"3801 Tyrone Blvd N, Saint Petersburg, FL 33709",27.806517,-82.749065,4.5,Sandwiches,,,,,,,99,33709
1E9o1SNo7UTf1XHTFPv1_Q,Franklin Juice Co,"230 Franklin Rd, Ste 11W, Franklin, TN 37064",35.9326054453,-86.860662065,4.5,Acai Bowls,Vegan,Organic Stores,,,,,66,37064
f82dhKNiUXsDVPMLqKYiIQ,Sher-e-Punjab,"853 East Grant Rd, Tucson, AZ 85719",32.2509598946,-110.9591583204,4.0,Salad,Pakistani,Indian,8.043823003768920,11.89526081085210,17.38054981827740,13.570844531059300,446,85719
XwoXi0M66RU6Gouq-DSDHw,G Peppers Grill & Tavern,"8745 Gunn Hwy, Odessa, FL 33556",28.0921362,-82.5785736,4.0,Mexican,American (Traditional),,,,,,82,33556
0DbIUh_Xuj6H5B_SF0RLCQ,Iguana's Mexican Restaurant,"680 E 56th St, Ste A, Brownsburg, IN 46112",39.8518617214,-86.3847577572,4.0,Mexican,,,,,,,74,46112
JfGfqCnk0-Tnf6PlahPUJQ,Burger Village,"6187 Currents Drive NW, Edmonton, AB T6W 0L9",53.436403,-113.604288,4.0,Burgers,,,,,,,10,T6W
aNXw3PkXVt8ANwLyCfcmpg,McDonald's,"2333 Welsh Rd, Lansdale, PA 19446",40.2637063378,-75.3179157563,1.5,Fast Food,Burgers,Food,,,,,17,19446
GVqXNt0HKJLpciN9ePxnWw,Crown Fried Chicken,"1128 S Broad St, Philadelphia, PA 19146",39.9368911,-75.1672837,2.5,Fast Food,,,,,,,16,19146
dChRGpit9fM_kZK5pafNyA,The Love,"130 S 18th St, Philadelphia, PA 19103",39.9506555,-75.1708991,4.0,American (New),Breakfast & Brunch,Burgers,17.48665940761570,17.944883346557600,19.60188138484960,15.568829119205500,618,19103
