post,longitude,latitude
T5J,-113.4974,53.5428
T5K,-113.5103,53.5366
T6E,-113.4802,53.4914
T5S,-113.6697,53.5634
T6B,-113.4194,53.5128
T8N,-113.6353,53.6334
T5P,-113.5957,53.5463
T6W,-113.5785,53.4179
T5T,-113.6579,53.5185
T5G,-113.5051,53.5705
T6H,-113.4585,53.3753
T5L,-113.5526,53.585
T5Y,-113.3614,53.6585
T8A,-113.2512,53.528
T6M,-113.6546,53.4593
T6V,-113.5746,53.6112
T8H,-113.2952,53.556
T5H,-113.4916,53.5514
T5E,-113.4465,53.7454
T6N,-113.4776,53.465
T5W,-113.4022,53.5645
T6C,-113.459,53.522
T6G,-113.5324,53.521
T6A,-113.4318,53.5482
T5M,-113.5662,53.563
T5R,-113.5797,53.5181
T5Z,-113.4673,53.6365
T4X,-113.4187,53.3501
T5A,-113.4077,53.5931
T6K,-113.4519,53.4609
T5N,-113.5574,53.5436
T6J,-113.521,53.4564
T5C,-113.4549,53.5996
T5B,-113.3369,53.7353
T6R,-113.5801,53.4567
T6L,-113.4145,53.4593
T8B,-113.2952,53.4397
T5X,-113.5245,53.6313
T6X,-113.4178,53.4154
T5V,-113.6224,53.5848
T6T,-113.371,53.4617
T7Y,-113.8097,53.4184
T8V,-118.9103,55.1808
T6P,-113.3723,53.5078
T7X,-113.9187,53.5334
T8T,-113.7102,53.6867
T8L,-113.2187,53.7168
T6S,-113.3374,53.5806
30846,-92.2272,14.6392
30846,-92.2531,14.6706
30846,-92.2189,14.6481
30846,-92.2583,14.6639
30846,-92.303,14.6411
30846,-92.2285,14.6163
30846,-92.316,14.625
30846,-92.3172,14.6176
30846,-92.2692,14.64
30846,-92.2661,14.6377
30846,-92.2583,14.6264
30846,-92.2768,14.6401
30835,-92.3115,14.7202
30835,-92.3441,14.7018
30835,-92.3199,14.7194
30835,-92.2951,14.7299
30835,-92.2833,14.7333
30835,-92.3228,14.6992
30835,-92.3342,14.7456
30835,-92.3291,14.6716
30835,-92.3199,14.7305
30835,-92.3389,14.7419
30851,-92.2446,14.7236
30830,-81.9908,33.1013
30830,-92.3698,14.8052
30830,-92.3984,14.6975
30830,-92.2492,14.9563
30830,-92.4003,14.6967
30830,-92.283,14.9132
30830,-92.2731,14.9013
30830,-92.316,14.625
30830,-92.4066,14.7068
30830,-92.4157,14.7149
30830,-92.2784,15.1093
30830,-92.4507,14.7449
30830,-92.4211,14.7231
30830,-92.4123,14.7109
30830,-92.3788,14.8936
30830,-92.4282,14.9516
30830,-92.4346,14.7331
30785,-92.2548,14.9399
30785,-92.2799,14.8723
30785,-92.2736,14.8744
30785,-92.2781,14.8704
30785,-92.2736,14.885
30785,-92.253,14.9368
30785,-92.2707,14.8707
30785,-92.3048,14.9339
30785,-92.2838,14.8679
30785,-92.2872,14.8955
30785,-92.2736,14.8739
30785,-92.2758,14.867
30785,-92.2786,14.8661
30798,-92.293,14.8666
30798,-92.3073,14.8804
30798,-92.2934,14.9009
30798,-92.3048,14.9339
30798,-92.2992,14.8772
30798,-92.2748,14.8963
30798,-92.2658,15.0467
30798,-92.3061,14.8818
30798,-92.302,14.8674
30798,-92.279,14.8996
30798,-92.3103,14.925
30798,-92.3147,14.8672
30798,-92.2971,14.866
30798,-92.2928,14.8899
30798,-92.2226,15.0195
30798,-92.3539,14.8389
30798,-92.2826,14.8915
30795,-92.2688,14.8859
30795,-92.282,14.9616
30795,-92.3036,15.1742
30795,-92.2717,14.8878
30795,-92.27,14.8825
30795,-92.3048,14.9339
30795,-92.2994,14.8858
30795,-92.282,14.9057
30795,-92.2784,15.1093
30790,-92.2713,14.8997
30790,-92.2731,14.9013
30790,-92.273,14.9034
30790,-92.265,14.8885
30790,-92.2776,14.922
30790,-92.2677,14.8969
30790,-92.285,14.8807
30790,-92.2833,14.8814
30790,-92.3305,15.0404
30790,-92.2667,14.8807
30790,-92.2628,14.889
30790,-92.287,15.1102
30790,-92.2653,14.892
30797,-92.3048,14.9339
30797,-92.2846,14.9159
30797,-92.235,15.08
30797,-92.283,14.8857
30797,-92.2795,14.8813
30797,-92.3586,14.9197
30797,-92.28,14.8867
30797,-92.2798,14.8779
30797,-92.276,14.8798
30825,-92.3251,14.8322
30825,-92.2506,14.8981
30825,-92.3161,14.8467
30825,-92.2986,14.8556
30825,-92.3043,14.8536
30825,-92.3048,14.9339
30825,-92.3198,14.8515
30825,-92.3155,14.8376
30700,-92.2613,14.9087
30747,-85.3362,34.4859
30747,-92.2523,14.9497
30747,-92.2464,14.9024
30747,-92.3048,14.9339
30747,-92.2533,14.9377
30747,-92.2522,14.9056
30747,-92.2575,15.0533
14526,-77.456,43.1396
30786,-92.264,14.8774
30786,-92.2613,14.8747
30786,-92.2611,14.8773
30786,-92.2691,14.8756
30786,-92.2584,14.8747
30786,-92.2556,14.9426
30786,-92.2686,14.8781
30786,-92.2665,14.8754
30786,-92.2685,14.9103
30786,-92.3117,15.1172
30719,-84.9702,34.7698
30719,-92.2567,14.8929
30719,-92.253,14.9368
30719,-92.2548,14.9149
30750,-85.3794,34.9335
30750,-92.2686,14.9226
30750,-92.3755,14.8675
30750,-92.265,14.9159
30750,-92.2928,14.9969
30760,-92.2584,14.9426
30760,-92.271,14.9093
30760,-92.2743,14.9154
30720,-84.9875,34.7635
30720,-92.2497,14.9181
30720,-92.2471,14.9182
30720,-92.2467,14.9192
30720,-92.2488,14.9261
30720,-92.2478,14.922
30720,-92.2432,14.9142
30720,-92.2435,14.9167
30720,-92.3048,14.9339
30723,-92.3048,14.9339
30723,-92.2374,14.9469
30723,-92.25,15.0378
30723,-92.2442,14.9705
30723,-92.245,14.9267
30738,-85.5019,34.8139
30738,-92.2492,14.9497
30738,-92.2479,14.9427
30738,-92.249,14.946
30738,-92.3048,14.9339
30738,-92.236,14.9593
30738,-92.2525,14.9478
30738,-92.2535,14.9445
30738,-92.2111,15.0208
30738,-92.2496,14.9427
30770,-92.2411,14.8964
30770,-92.2454,14.8967
30770,-92.2861,15.1581
30770,-92.2472,14.8972
30770,-92.255,14.9621
30890,-92.1627,14.9878
30890,-92.1547,15.0071
30890,-92.1675,14.9938
30890,-92.1675,14.9905
30890,-92.1717,14.9895
30890,-92.1475,14.9981
30890,-92.1641,15.0862
30890,-92.1611,14.9982
30885,-92.1036,15.0307
30885,-92.1025,15.06
30895,-92.1633,15.0306
30895,-92.1829,15.045
30895,-92.1532,15.0468
30895,-92.1804,15.0403
30895,-92.1419,15.0642
30895,-92.1408,15.0256
30895,-92.1641,15.0862
30880,-92.0807,15.0628
30880,-92.0935,15.0871
30880,-92.0918,15.0653
30880,-92.1261,15.0615
30880,-92.1233,15.0536
30893,-92.1851,15.0933
30893,-92.1986,15.0752
30893,-92.2081,15.0353
30893,-92.1911,15.055
30893,-92.1975,15.0867
30893,-92.2165,15.0466
30806,-82.5104,33.528
30806,-92.2901,15.1785
30806,-92.2784,15.1093
30806,-92.2914,15.1414
30806,-92.287,15.1102
30806,-92.2753,15.1315
30806,-92.2752,15.1326
30806,-92.2917,15.1508
30806,-92.2744,15.0947
30806,-92.3,15.1253
30806,-92.2884,15.1486
30806,-92.2786,15.1309
30806,-92.2861,15.1581
30806,-92.2426,15.0905
30806,-92.2906,15.1391
30806,-92.2722,15.1186
30806,-92.2815,15.1307
30640,-92.456,15.152
30640,-92.5064,15.1667
30640,-92.4959,15.1367
